team1,team2,venue,toss_winner,toss_decision,winner,date
Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,2013-11-21
Netherlands,Scotland,ICC Academy,Netherlands,field,Scotland,2013-11-22
South Africa,Pakistan,Newlands,Pakistan,bat,Pakistan,2013-11-22
Kenya,Netherlands,ICC Academy,Netherlands,bat,Netherlands,2013-11-23
Canada,Kenya,Sharjah Cricket Stadium,Kenya,bat,Kenya,2013-11-26
Netherlands,Scotland,Sheikh Zayed Stadium,Scotland,bat,Netherlands,2013-11-28
Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,field,Pakistan,2013-12-11
Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,field,Sri Lanka,2013-12-13
New Zealand,West Indies,Eden Park,New Zealand,bat,New Zealand,2014-01-11
New Zealand,West Indies,Westpac Stadium,West Indies,bat,New Zealand,2014-01-15
Pakistan,South Africa,West End Park International Cricket Stadium,Pakistan,field,Pakistan,2014-01-19
Ireland,Pakistan,West End Park International Cricket Stadium,Ireland,field,Ireland,2014-01-19
Ireland,South Africa,West End Park International Cricket Stadium,Ireland,field,South Africa,2014-01-20
Pakistan,South Africa,West End Park International Cricket Stadium,Pakistan,field,Pakistan,2014-01-24
Australia,England,Bellerive Oval,Australia,bat,Australia,2014-01-29
Australia,England,Melbourne Cricket Ground,Australia,field,Australia,2014-01-31
Australia,England,Melbourne Cricket Ground,England,bat,Australia,2014-01-31
Australia,England,Stadium Australia,Australia,field,Australia,2014-02-02
Australia,England,Stadium Australia,Australia,bat,Australia,2014-02-02
Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Sri Lanka,2014-02-12
Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Bangladesh,bat,Sri Lanka,2014-02-14
West Indies,Ireland,"Sabina Park, Kingston",West Indies,bat,Ireland,2014-02-19
West Indies,Ireland,"Sabina Park, Kingston",Ireland,field,West Indies,2014-02-21
West Indies,England,"Kensington Oval, Bridgetown",West Indies,bat,West Indies,2014-03-09
West Indies,England,"Kensington Oval, Bridgetown",England,bat,West Indies,2014-03-11
South Africa,Australia,Kingsmead,Australia,field,Australia,2014-03-12
West Indies,England,"Kensington Oval, Bridgetown",England,bat,England,2014-03-13
South Africa,Australia,SuperSport Park,Australia,field,Australia,2014-03-14
Hong Kong,Nepal,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Nepal,2014-03-16
Ireland,Zimbabwe,Sylhet Stadium,Ireland,field,Ireland,2014-03-17
Netherlands,United Arab Emirates,Sylhet Stadium,United Arab Emirates,bat,Netherlands,2014-03-17
Bangladesh,Nepal,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh,2014-03-18
Netherlands,Zimbabwe,Sylhet Stadium,Netherlands,bat,Zimbabwe,2014-03-19
Ireland,United Arab Emirates,Sylhet Stadium,Ireland,field,Ireland,2014-03-19
Bangladesh,Hong Kong,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Hong Kong,2014-03-20
Ireland,Netherlands,Sylhet Stadium,Netherlands,field,Netherlands,2014-03-21
United Arab Emirates,Zimbabwe,Sylhet Stadium,Zimbabwe,field,Zimbabwe,2014-03-21
India,Pakistan,Shere Bangla National Stadium,India,field,India,2014-03-21
South Africa,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka,bat,Sri Lanka,2014-03-22
England,New Zealand,Zahur Ahmed Chowdhury Stadium,New Zealand,field,New Zealand,2014-03-22
Australia,Pakistan,Shere Bangla National Stadium,Australia,field,Pakistan,2014-03-23
India,West Indies,Shere Bangla National Stadium,India,field,India,2014-03-23
Australia,New Zealand,Sylhet Stadium,Australia,field,New Zealand,2014-03-23
New Zealand,South Africa,Zahur Ahmed Chowdhury Stadium,New Zealand,field,South Africa,2014-03-24
India,Sri Lanka,Sylhet Stadium,Sri Lanka,bat,Sri Lanka,2014-03-24
Netherlands,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka,field,Sri Lanka,2014-03-24
England,West Indies,Sylhet Stadium,England,field,West Indies,2014-03-24
Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,West Indies,2014-03-25
Ireland,New Zealand,Sylhet Stadium,New Zealand,bat,New Zealand,2014-03-25
Bangladesh,West Indies,Sylhet Stadium,West Indies,bat,West Indies,2014-03-26
England,India,Sylhet Stadium,India,bat,England,2014-03-26
New Zealand,Pakistan,Sylhet Stadium,New Zealand,bat,New Zealand,2014-03-27
England,Sri Lanka,Zahur Ahmed Chowdhury Stadium,England,field,England,2014-03-27
Netherlands,South Africa,Zahur Ahmed Chowdhury Stadium,Netherlands,field,South Africa,2014-03-27
Sri Lanka,West Indies,Sylhet Stadium,Sri Lanka,bat,West Indies,2014-03-28
Australia,West Indies,Shere Bangla National Stadium,Australia,bat,West Indies,2014-03-28
Bangladesh,India,Shere Bangla National Stadium,India,field,India,2014-03-28
Australia,Pakistan,Sylhet Stadium,Australia,bat,Australia,2014-03-29
Ireland,South Africa,Sylhet Stadium,South Africa,bat,South Africa,2014-03-29
England,South Africa,Zahur Ahmed Chowdhury Stadium,England,field,South Africa,2014-03-29
Netherlands,New Zealand,Zahur Ahmed Chowdhury Stadium,New Zealand,field,New Zealand,2014-03-29
Bangladesh,India,Sylhet Stadium,India,bat,India,2014-03-30
England,Sri Lanka,Sylhet Stadium,Sri Lanka,bat,England,2014-03-30
Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan,2014-03-30
Australia,India,Shere Bangla National Stadium,Australia,field,India,2014-03-30
Ireland,Pakistan,Sylhet Stadium,Pakistan,bat,Pakistan,2014-03-31
New Zealand,South Africa,Sylhet Stadium,New Zealand,bat,South Africa,2014-03-31
New Zealand,Sri Lanka,Zahur Ahmed Chowdhury Stadium,New Zealand,field,Sri Lanka,2014-03-31
England,Netherlands,Zahur Ahmed Chowdhury Stadium,England,field,Netherlands,2014-03-31
Bangladesh,Australia,Shere Bangla National Stadium,Bangladesh,bat,Australia,2014-04-01
Pakistan,West Indies,Shere Bangla National Stadium,West Indies,bat,West Indies,2014-04-01
Bangladesh,Sri Lanka,Sylhet Stadium,Bangladesh,bat,Bangladesh,2014-04-01
India,West Indies,Sylhet Stadium,West Indies,bat,India,2014-04-01
India,Pakistan,Sylhet Stadium,India,bat,India,2014-04-02
New Zealand,Sri Lanka,Sylhet Stadium,Sri Lanka,bat,New Zealand,2014-04-02
Bangladesh,Ireland,Sylhet Stadium,Bangladesh,bat,Bangladesh,2014-04-03
Australia,West Indies,Shere Bangla National Stadium,Australia,bat,Australia,2014-04-03
Pakistan,Sri Lanka,Sylhet Stadium,Pakistan,bat,Pakistan,2014-04-03
Sri Lanka,West Indies,Shere Bangla National Stadium,Sri Lanka,bat,Sri Lanka,2014-04-03
England,South Africa,Shere Bangla National Stadium,England,field,England,2014-04-04
India,South Africa,Shere Bangla National Stadium,South Africa,bat,India,2014-04-04
Australia,England,Shere Bangla National Stadium,Australia,field,Australia,2014-04-06
India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,Sri Lanka,2014-04-06
England,Sri Lanka,Kennington Oval,England,field,Sri Lanka,2014-05-20
West Indies,New Zealand,"Windsor Park, Roseau",New Zealand,field,New Zealand,2014-07-05
West Indies,New Zealand,"Windsor Park, Roseau",New Zealand,field,West Indies,2014-07-06
Australia,Pakistan,Kerrydale Oval,Pakistan,bat,Australia,2014-08-30
Australia,Pakistan,Kerrydale Oval,Australia,bat,Australia,2014-08-31
England,South Africa,County Ground,England,field,England,2014-09-01
England,South Africa,County Ground,England,bat,England,2014-09-03
Australia,Pakistan,Kerrydale Oval,Pakistan,bat,Australia,2014-09-03
Australia,Pakistan,Kerrydale Oval,Australia,bat,Australia,2014-09-05
England,South Africa,Edgbaston,South Africa,field,England,2014-09-07
England,India,Edgbaston,England,bat,England,2014-09-07
Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,Australia,2014-10-05
Sri Lanka,South Africa,Colts Cricket Club Ground,Sri Lanka,bat,Sri Lanka,2014-10-23
Sri Lanka,South Africa,Colts Cricket Club Ground,Sri Lanka,bat,South Africa,2014-10-25
Sri Lanka,South Africa,Mercantile Cricket Association Ground,Sri Lanka,bat,South Africa,2014-10-26
Australia,West Indies,North Sydney Oval,Australia,field,Australia,2014-11-02
Australia,South Africa,Adelaide Oval,Australia,bat,South Africa,2014-11-05
Australia,South Africa,Melbourne Cricket Ground,South Africa,bat,Australia,2014-11-07
Australia,West Indies,Melbourne Cricket Ground,West Indies,bat,Australia,2014-11-07
Australia,South Africa,Stadium Australia,Australia,field,Australia,2014-11-09
Hong Kong,Nepal,P Sara Oval,Hong Kong,field,Hong Kong,2014-11-24
New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,2014-12-04
New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,field,New Zealand,2014-12-05
South Africa,West Indies,Newlands,South Africa,bat,West Indies,2015-01-09
South Africa,West Indies,New Wanderers Stadium,West Indies,field,West Indies,2015-01-11
South Africa,West Indies,Kingsmead,West Indies,field,South Africa,2015-01-14
Pakistan,Sri Lanka,Sharjah Cricket Stadium,Pakistan,bat,Pakistan,2015-01-16
Pakistan,Sri Lanka,Sharjah Cricket Stadium,Pakistan,bat,Sri Lanka,2015-01-17
Pakistan,South Africa,Sharjah Cricket Stadium,Pakistan,field,Pakistan,2015-03-19
Pakistan,South Africa,Sharjah Cricket Stadium,South Africa,bat,Pakistan,2015-03-20
Pakistan,South Africa,Sharjah Cricket Stadium,South Africa,field,South Africa,2015-03-22
Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,2015-04-24
Pakistan,Zimbabwe,Gaddafi Stadium,Zimbabwe,bat,Pakistan,2015-05-22
Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,field,Sri Lanka,2015-05-23
Pakistan,Zimbabwe,Gaddafi Stadium,Zimbabwe,bat,Pakistan,2015-05-24
Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,bat,West Indies,2015-05-25
Sri Lanka,West Indies,R Premadasa Stadium,West Indies,field,West Indies,2015-05-26
Ireland,Scotland,"Bready Cricket Club, Magheramason",Scotland,field,Scotland,2015-06-20
England,New Zealand,Old Trafford,England,bat,England,2015-06-23
Netherlands,Nepal,VRA Ground,Nepal,field,Netherlands,2015-07-01
Netherlands,Nepal,Hazelaarweg,Netherlands,bat,Netherlands,2015-07-02
Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,South Africa,2015-07-05
Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,South Africa,2015-07-07
Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",Scotland,field,Scotland,2015-07-09
Scotland,Netherlands,"Grange Cricket Club Ground, Raeburn Place",Netherlands,bat,Netherlands,2015-07-11
Netherlands,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",Netherlands,field,Netherlands,2015-07-12
Nepal,Ireland,"Civil Service Cricket Club, Stormont",Ireland,field,Ireland,2015-07-13
Hong Kong,Nepal,"Civil Service Cricket Club, Stormont",Hong Kong,field,Hong Kong,2015-07-15
Ireland,Papua New Guinea,"Civil Service Cricket Club, Stormont",Ireland,bat,Papua New Guinea,2015-07-15
Ireland,Hong Kong,"The Village, Malahide",Ireland,field,Hong Kong,2015-07-17
Nepal,Papua New Guinea,"The Village, Malahide",Papua New Guinea,field,Papua New Guinea,2015-07-17
Zimbabwe,India,Harare Sports Club,India,bat,India,2015-07-17
Zimbabwe,India,Harare Sports Club,Zimbabwe,bat,Zimbabwe,2015-07-19
Hong Kong,Scotland,"The Village, Malahide",Scotland,field,Scotland,2015-07-25
Ireland,Netherlands,"The Village, Malahide",Netherlands,field,Netherlands,2015-07-25
Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan,2015-07-30
Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,Pakistan,2015-08-01
Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,New Zealand,2015-08-09
South Africa,New Zealand,Kingsmead,South Africa,field,South Africa,2015-08-14
South Africa,New Zealand,SuperSport Park,New Zealand,bat,New Zealand,2015-08-16
Ireland,Australia,YMCA Cricket Club,Ireland,field,Australia,2015-08-19
Ireland,Australia,YMCA Cricket Club,Australia,bat,Australia,2015-08-21
Ireland,Australia,YMCA Cricket Club,Australia,bat,Australia,2015-08-22
England,Australia,County Ground,England,field,England,2015-08-26
England,Australia,County Ground,England,field,Australia,2015-08-28
England,Australia,Sophia Gardens,England,field,England,2015-08-31
England,Australia,Sophia Gardens,Australia,field,England,2015-08-31
Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,Pakistan,2015-09-27
Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,Pakistan,2015-09-29
Pakistan,Bangladesh,Southend Club Cricket Stadium,Pakistan,bat,Pakistan,2015-09-30
Pakistan,Bangladesh,Southend Club Cricket Stadium,Pakistan,bat,Pakistan,2015-10-01
India,South Africa,Himachal Pradesh Cricket Association Stadium,South Africa,field,South Africa,2015-10-02
India,South Africa,Barabati Stadium,South Africa,field,South Africa,2015-10-05
West Indies,Pakistan,"National Cricket Stadium, St George's",West Indies,field,West Indies,2015-10-29
Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,field,Sri Lanka,2015-11-09
Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,West Indies,2015-11-11
Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,2015-11-13
Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,bat,Zimbabwe,2015-11-15
Hong Kong,Oman,Sheikh Zayed Stadium,Oman,field,Oman,2015-11-21
United Arab Emirates,Oman,Sheikh Zayed Stadium,United Arab Emirates,field,United Arab Emirates,2015-11-22
Hong Kong,Oman,Sheikh Zayed Stadium,Hong Kong,field,Oman,2015-11-25
Hong Kong,Oman,Sheikh Zayed Stadium,Hong Kong,field,Hong Kong,2015-11-26
England,Pakistan,Dubai International Cricket Stadium,England,bat,England,2015-11-26
England,Pakistan,Dubai International Cricket Stadium,England,bat,England,2015-11-27
Bangladesh,Ireland,Terdthai Cricket Ground,Bangladesh,bat,Ireland,2015-12-05
New Zealand,Sri Lanka,Bay Oval,Sri Lanka,field,New Zealand,2016-01-07
New Zealand,Sri Lanka,Eden Park,New Zealand,field,New Zealand,2016-01-10
Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Zimbabwe,bat,Bangladesh,2016-01-15
New Zealand,Pakistan,Eden Park,New Zealand,field,Pakistan,2016-01-15
Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Bangladesh,bat,Bangladesh,2016-01-17
New Zealand,Pakistan,Seddon Park,Pakistan,bat,New Zealand,2016-01-17
Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Zimbabwe,bat,Zimbabwe,2016-01-20
New Zealand,Pakistan,Westpac Stadium,Pakistan,field,New Zealand,2016-01-22
Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Zimbabwe,bat,Zimbabwe,2016-01-22
Australia,India,Adelaide Oval,Australia,field,India,2016-01-26
Australia,India,Melbourne Cricket Ground,India,field,India,2016-01-29
Australia,India,Melbourne Cricket Ground,Australia,field,India,2016-01-29
Hong Kong,Scotland,"Mission Road Ground, Mong Kok",Hong Kong,field,Hong Kong,2016-01-30
Australia,India,Sydney Cricket Ground,Australia,bat,India,2016-01-31
Hong Kong,Scotland,"Mission Road Ground, Mong Kok",Hong Kong,field,Scotland,2016-01-31
Australia,India,Sydney Cricket Ground,India,field,Australia,2016-01-31
United Arab Emirates,Netherlands,ICC Academy,United Arab Emirates,field,Netherlands,2016-02-03
United Arab Emirates,Scotland,ICC Academy,United Arab Emirates,bat,United Arab Emirates,2016-02-04
Ireland,Papua New Guinea,Tony Ireland Stadium,Papua New Guinea,field,Ireland,2016-02-07
Ireland,Papua New Guinea,Tony Ireland Stadium,Papua New Guinea,bat,Papua New Guinea,2016-02-09
India,Sri Lanka,Maharashtra Cricket Association Stadium,Sri Lanka,field,Sri Lanka,2016-02-09
India,Sri Lanka,JSCA International Stadium Complex,Sri Lanka,field,India,2016-02-12
India,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India,2016-02-14
United Arab Emirates,Ireland,Sheikh Zayed Stadium,United Arab Emirates,field,Ireland,2016-02-14
United Arab Emirates,Ireland,Sheikh Zayed Stadium,United Arab Emirates,bat,United Arab Emirates,2016-02-16
South Africa,England,Boland Park,South Africa,field,England,2016-02-18
Hong Kong,Oman,Khan Shaheb Osman Ali Stadium,Oman,bat,Oman,2016-02-19
South Africa,England,Newlands,South Africa,field,South Africa,2016-02-19
South Africa,England,New Wanderers Stadium,South Africa,field,South Africa,2016-02-21
South Africa,England,New Wanderers Stadium,England,field,England,2016-02-21
Hong Kong,United Arab Emirates,Khan Shaheb Osman Ali Stadium,Hong Kong,bat,United Arab Emirates,2016-02-21
Oman,United Arab Emirates,Shere Bangla National Stadium,Oman,field,United Arab Emirates,2016-02-22
India,Bangladesh,Shere Bangla National Stadium,Bangladesh,field,India,2016-02-24
Sri Lanka,United Arab Emirates,Shere Bangla National Stadium,United Arab Emirates,field,Sri Lanka,2016-02-25
Bangladesh,United Arab Emirates,Shere Bangla National Stadium,United Arab Emirates,field,Bangladesh,2016-02-26
India,Pakistan,Shere Bangla National Stadium,India,field,India,2016-02-27
Bangladesh,Sri Lanka,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,2016-02-28
Pakistan,United Arab Emirates,Shere Bangla National Stadium,United Arab Emirates,bat,Pakistan,2016-02-29
India,Sri Lanka,Shere Bangla National Stadium,India,field,India,2016-03-01
Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Bangladesh,2016-03-02
India,United Arab Emirates,Shere Bangla National Stadium,United Arab Emirates,bat,India,2016-03-03
South Africa,Australia,Kingsmead,Australia,bat,South Africa,2016-03-04
South Africa,West Indies,Kingsmead,South Africa,bat,South Africa,2016-03-04
Pakistan,Sri Lanka,Shere Bangla National Stadium,Pakistan,field,Pakistan,2016-03-04
Bangladesh,India,Shere Bangla National Stadium,India,field,India,2016-03-06
South Africa,Australia,New Wanderers Stadium,Australia,field,Australia,2016-03-06
Hong Kong,Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",Hong Kong,field,Zimbabwe,2016-03-08
Ireland,Oman,Himachal Pradesh Cricket Association Stadium,Ireland,bat,Oman,2016-03-09
Bangladesh,Netherlands,Himachal Pradesh Cricket Association Stadium,Netherlands,field,Bangladesh,2016-03-09
South Africa,Australia,Newlands,South Africa,bat,Australia,2016-03-09
South Africa,West Indies,Newlands,South Africa,bat,South Africa,2016-03-09
Scotland,Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",Zimbabwe,bat,Zimbabwe,2016-03-10
Hong Kong,Scotland,"Vidarbha Cricket Association Stadium, Jamtha",Hong Kong,bat,Scotland,2016-03-12
Ireland,Netherlands,Himachal Pradesh Cricket Association Stadium,Ireland,field,Netherlands,2016-03-13
Bangladesh,Oman,Himachal Pradesh Cricket Association Stadium,Oman,field,Bangladesh,2016-03-13
India,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",New Zealand,bat,New Zealand,2016-03-15
